restaurant_name,rating,average_price,average _delivery_time,south_indian_or_not,north_indian_or_not,fast_food_or_not,street_food,biryani_or_not,bakery_or_not,,City
Agrawal Petha Bhandar,4,50,32,0,0,0,0,0,0,,Ahmedabad
Agrawal 's Fast Food And Snacks,4.2,200,40,0,1,0,0,1,0,,Ahmedabad
Agrawal Sweets,3.8,150,38,1,1,1,0,0,0,,Ahmedabad
Agrawal Sweets And Restaurant,3.9,100,23,0,0,0,0,0,0,,Ahmedabad
Agrawal's Kitchen,4.1,200,57,0,1,0,0,1,0,,Ahmedabad
Agrawal's Rajbhog,4,150,33,0,1,0,0,0,0,,Ahmedabad
Agrawal's Resturant,3.6,100,30,1,0,1,0,0,0,,Ahmedabad
Agrawat Sweets,3.1,400,34,0,0,0,0,0,0,,Ahmedabad
Agya Singh's Dhaba,4.3,100,26,0,1,0,0,0,0,,Ahmedabad
Aha Biryanis,4,200,26,0,0,0,0,1,0,,Ahmedabad
Aha Spice,4.2,350,13,1,0,0,0,0,0,,Ahmedabad
Ahaa Restaurant,3.6,100,25,0,1,0,0,1,0,,Ahmedabad
Ahalan Mandi,3.9,150,24,0,0,0,0,0,0,,Ahmedabad
Ahar Vaishno Dhaba,3.2,100,24,0,1,0,0,0,0,,Ahmedabad
Aharam,4.1,200,28,0,1,0,0,0,0,,Ahmedabad
Aharam Foods Private Limited,4.1,150,28,1,1,0,1,0,0,,Ahmedabad
Ahare 8 Khana,4,150,30,0,1,0,0,0,0,,Ahmedabad
Ahhaa! Prayagi,2.9,200,61,0,1,1,0,1,0,,Ahmedabad
Ahling,4.3,150,31,0,0,0,0,0,0,,Ahmedabad
Ahmad Raza Star Family Restaurant,4.3,200,27,1,0,0,0,0,0,,Ahmedabad
Ahmedabad Chicken Biryani,3.4,200,43,0,1,0,0,1,0,,Ahmedabad
Ahmedi Hotel,3.9,100,36,0,1,0,0,1,0,,Ahmedabad
Aho Punjab,3.9,150,25,0,1,0,0,0,0,,Ahmedabad
Ahoban Food Corner,4,150,54,0,0,0,1,0,0,,Ahmedabad
Ahuja Chana Bhatura,4.1,100,21,0,1,0,0,0,0,,Ahmedabad
Ahuja Chana Bhatura,4.3,150,14,0,1,0,0,0,0,,Ahmedabad
Ahuja Indian & Chinese Food Court,3.8,200,27,0,1,0,0,0,0,,Ahmedabad
Ahuja Proteins,4.1,150,20,0,0,1,0,0,1,,Ahmedabad
Ahuja Refreshment Center,3.9,150,23,0,0,1,0,0,0,,Ahmedabad
Ahuja Vegetarian Restaurant,3.6,250,27,0,1,0,0,0,0,,Ahmedabad
Ahuja's Kitchen,4,200,30,0,1,0,0,0,0,,Ahmedabad
Ahuja's Sweets & Dairy,4.1,150,23,1,0,0,1,0,0,,Ahmedabad
Aibaik,3.7,100,31,0,0,1,0,0,0,,Ahmedabad
Aibaik,3.9,300,41,0,0,0,0,1,0,,Ahmedabad
Aieroc Resto Cafe,4,100,46,0,0,1,0,0,0,,Ahmedabad
Aifa's Biriyani,3.2,200,33,0,1,0,0,1,0,,Ahmedabad
AIP - India's Burger,3.5,150,44,0,0,0,0,0,0,,Ahmedabad
AIP - India's Burger,3.7,100,35,0,0,0,0,0,0,,Ahmedabad
Air Flow Pizza,4,50,20,0,0,0,0,0,0,,Ahmedabad
Air Lounge,3.8,100,41,0,1,1,0,0,0,,Ahmedabad
Air On Wheels,4.1,350,28,0,0,1,1,0,0,,Ahmedabad
Airbus,4.3,500,31,0,1,0,0,0,0,,Ahmedabad
